C:\Users\Bartosz\Documents\Rysunek1.dwg,Model,19.05.2018 13:47:17,Bartosz,DWG To PDF.pc3,_TEX (100x100),1:0.01,
C:\Users\Bartosz\Dysk Google\MAGISTERKA\Praca magisterska\DWG\Magisterka_180605.dwg,Uk³ad1 (2),05.06.2018 21:30:15,Bartosz,DWG To PDF.pc3,_TEX (100x100),1:1,
C:\Users\Bartosz\Dysk Google\MAGISTERKA\Praca magisterska\DWG\Magisterka_180605.dwg,Uk³ad1 (2),05.06.2018 21:57:55,Bartosz,DWG To PDF.pc3,_TEX (100x100),1:5.82569,
C:\Users\Bartosz\Dysk Google\MAGISTERKA\Praca magisterska\DWG\Magisterka_180605.dwg,Uk³ad1 (2),05.06.2018 21:58:16,Bartosz,DWG To PDF.pc3,_TEX (100x100),1:5.82569,
C:\Users\Bartosz\Dysk Google\MAGISTERKA\Praca magisterska\DWG\Magisterka_180605.dwg,Uk³ad1 (2),05.06.2018 21:59:03,Bartosz,DWG To PDF.pc3,_TEX (100x100),1:5.82569,
C:\Users\Bartosz\Dysk Google\MAGISTERKA\Praca magisterska\DWG\Magisterka_180605.dwg,Uk³ad1,05.06.2018 21:59:28,Bartosz,DWG To PDF.pc3,_TEX (100x100),1:5.82569,
C:\Users\Bartosz\Dysk Google\MAGISTERKA\Praca magisterska\DWG\Magisterka_180605.dwg,Uk³ad1,05.06.2018 22:34:50,Bartosz,DWG To PDF.pc3,_TEX (100x100),1:5.82569,
C:\Users\Bartosz\Dysk Google\MAGISTERKA\Praca magisterska\DWG\Magisterka_180605.dwg,K2,05.06.2018 22:35:29,Bartosz,DWG To PDF.pc3,_TEX (100x100),1:5.82569,
C:\Users\Bartosz\Dysk Google\MAGISTERKA\Praca magisterska\DWG\Magisterka_180605.dwg,K2,05.06.2018 22:48:08,Bartosz,DWG To PDF.pc3,ISO full bleed A2 (594.00 x 420.00 mm),1:1,
C:\Users\Bartosz\Dysk Google\MAGISTERKA\Praca magisterska\DWG\Magisterka_180605.dwg,Model,05.06.2018 23:02:49,Bartosz,DWG To PDF.pc3,_TEX (100x100),1:2.00034,
C:\Users\Bartosz\Dysk Google\MAGISTERKA\Praca magisterska\DWG\Magisterka_180605.dwg,Model,05.06.2018 23:03:43,Bartosz,DWG To PDF.pc3,_TEX (100x100),1:2.00034,
C:\Users\Bartosz\Dysk Google\MAGISTERKA\Praca magisterska\DWG\Magisterka_180605.dwg,Model,11.06.2018 10:39:46,Bartosz,DWG To PDF.pc3,_TEX (100x100),1:1.96246,
C:\Users\Bartosz\Dysk Google\MAGISTERKA\Praca magisterska\DWG\Magisterka_180605.dwg,Model,11.06.2018 10:40:18,Bartosz,DWG To PDF.pc3,_TEX (100x100),1:2.30936,
C:\Users\Bartosz\Dysk Google\MAGISTERKA\Praca magisterska\DWG\Magisterka_180605.dwg,K1,11.06.2018 12:26:25,Bartosz,DWG To PDF.pc3,ISO full bleed A2 (594.00 x 420.00 mm),1:1,
